local,resolution,features,stage,seed,model,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson,Spearman
RJ,DAILY,FULL,METHOD_CORRECTED_V2,149,xgb_zip,0.1625570776255707,0.4031836772806791,0.044900569660732,0.2934361419029331,95.56209342556582,4.816987860348297,1.5455787103872374,0.546153737717529,0.3064712070847771
RJ,DAILY,FULL,METHOD_CORRECTED_V2,220,rf,0.1493016822096292,0.3863957585295537,0.0476402956881293,0.3510514943840026,80.67291408436195,5.714521367654677,1.0637434906081231,0.5940588262193413,0.3779743354143833
RJ,DAILY,FULL,METHOD_CORRECTED_V2,220,xgb_poisson,0.1468356313120045,0.3831913768758432,0.0470750970505555,0.3617703290354405,80.63309061894161,5.684630137720042,1.06616340611,0.6035570003189825,0.3792485461918431
RJ,DAILY,FULL,METHOD_CORRECTED_V2,220,xgb_zip,0.1605476477325123,0.4006839748885801,0.0450864902651971,0.3021702466158958,95.2738355155114,4.82592940303351,1.5138213081431005,0.5536234729494525,0.3128154372621984
RJ,DAILY,FULL,METHOD_CORRECTED_V2,222,rf,0.1483423318905894,0.385152348935573,0.047594187378222,0.3552213667303099,80.62543745724341,5.726784191642122,1.0624210662918891,0.5975523664016346,0.3775523995534179
RJ,DAILY,FULL,METHOD_CORRECTED_V2,222,xgb_poisson,0.1475049454880787,0.3840637258165352,0.047152440022013,0.358861115770575,80.68973109709303,5.681264080184704,1.0642445076872438,0.6011172174435557,0.3802927849197843
RJ,DAILY,FULL,METHOD_CORRECTED_V2,222,xgb_zip,0.1600359942290244,0.4000449902561266,0.046204988621659,0.3043941785339265,94.4317771931022,4.8988291116821845,1.4380787883274273,0.5550037277283384,0.3257955597296536
RJ,DAILY,FULL,METHOD_CORRECTED_V2,241,rf,0.1493775378162509,0.3864939039832982,0.0476596314309937,0.3507217835473178,80.61905533581479,5.720803526907248,1.0638949250479863,0.593771407288943,0.37811376324147
RJ,DAILY,FULL,METHOD_CORRECTED_V2,241,xgb_poisson,0.148461321077447,0.3853067882576779,0.0471301295494771,0.3547041732610004,80.84719785159086,5.663835305861075,1.0724585684105172,0.5997372983077328,0.3783656511647609
RJ,DAILY,FULL,METHOD_CORRECTED_V2,241,xgb_zip,0.1595436764684009,0.3994291883030094,0.0456234289708922,0.3065340665131941,94.72826469714887,4.863573169608334,1.4726961222649648,0.5570104373411108,0.3201010278258198
