ID_UNIDADE,TOTAL_CASES,LAT,LNG,DIST_KM,LEVEL
3945995,7,-22.8081,-43.44038,6.628580285646748,2
5315050,17,-22.81741,-43.36625,6.731379277216929,2
7110162,479,-22.85164,-43.34646,6.7406166480915815,2
2270420,305,-22.87413,-43.47596,6.765672197593667,2
5315026,10,-22.82714,-43.35505,6.916170412953294,2
5546591,346,-22.86707,-43.4789,6.945859235783132,2
2270579,92,-22.86707,-43.4789,6.945859235783132,2
6927254,18,-22.89658,-43.3553,6.952005495816927,2
2708175,4,-22.89658,-43.3553,6.952005495816927,2
9078983,101,-22.83683,-43.34871,6.979132411500415,2
2286033,2,-22.80233,-43.43712,7.076720443478913,2
2696525,2,-22.80094,-43.43315,7.081928665527273,2
5044685,74,-22.83042,-43.34967,7.201188691749074,2
6661904,219,-22.88216,-43.3446,7.221974835483746,2
5417708,378,-22.87909,-43.34158,7.418073281913624,2
2296608,57,-22.91865,-43.37393,7.434049791743419,2
7996675,25,-22.8859,-43.34384,7.437824520295307,2
2286068,4,-22.7949,-43.42527,7.528862551137004,2
6029965,58,-22.82975,-43.34565,7.599753596817349,2
3130339,1,-22.80318,-43.37222,7.616228492928085,2
2278634,1,-22.80259,-43.37235,7.665102274152442,2
5468019,10,-22.87795,-43.3383,7.711370059211379,2
2270196,1,-22.85001,-43.48578,7.726764227940335,2
5717256,10,-22.82426,-43.34743,7.746081347252704,2
4056310,3,-22.84238,-43.48433,7.767230975185381,2
2270161,2,-22.84238,-43.48433,7.767230975185381,2
6681573,456,-22.87666,-43.3372,7.788363213904511,2
2270439,863,-22.85335,-43.48704,7.802844890477018,2
2269937,40,-22.87977,-43.33736,7.855086509362293,2
2269848,40,-22.88759,-43.48282,7.87677116334123,2
7071868,3,-22.9204,-43.36883,7.878012962883127,2
2270390,2,-22.86631,-43.33444,7.903038624609385,2
5526620,3,-22.79001,-43.42504,8.059345069222516,2
6037526,61,-22.92154,-43.36733,8.068825561869199,2
4335988,5,-22.92154,-43.36733,8.068825561869199,2
2286025,1,-22.78859,-43.40909,8.098305335661118,2
6852203,200,-22.88886,-43.4855,8.184120422247425,2
2298570,2,-22.79122,-43.43658,8.218482611635018,2
6742831,1503,-22.88291,-43.48847,8.251754118934157,2
2296586,28,-22.80459,-43.35741,8.395842848698024,2
2296543,195,-22.92084,-43.3604,8.42512815958382,2
5955629,595,-22.85557,-43.32931,8.434869635625203,2
9128867,8,-22.85557,-43.32931,8.434869635625203,2
7874162,103,-22.85861,-43.49443,8.514123906140332,2
2269309,31,-22.83755,-43.33209,8.547146060017662,2
4039785,1,-22.92728,-43.36703,8.62141533646834,2
7065485,28,-22.78531,-43.42766,8.622396051704767,2
3531228,100,-22.85627,-43.32646,8.720607977574758,2
6864708,719,-22.89479,-43.48849,8.728447464308827,2
2269295,98,-22.8534,-43.32589,8.805431802364486,2
9072640,50,-22.87485,-43.3266,8.815083215303948,2
9071385,43,-22.93839,-43.38827,8.883593223190793,2
2708205,47,-22.88603,-43.32822,8.950449421241379,2
2270552,51,-22.87976,-43.497,9.005895700447487,2
3058212,9,-22.8448,-43.32487,9.055171367680021,2
5879655,10,-22.82983,-43.32875,9.16650366874582,2
9131884,128,-22.83176,-43.32732,9.223169494503768,2
2291266,1152,-22.83029,-43.32787,9.23057697388937,2
7110340,2,-22.83029,-43.32787,9.23057697388937,2
2286106,6,-22.77845,-43.40261,9.266183066766313,2
7011857,3,-22.77806,-43.40305,9.305094916495793,2
2696711,10,-22.77965,-43.43184,9.327522944590058,2
6518893,9,-22.7883,-43.36402,9.466711860769891,2
2273349,12,-22.91807,-43.34187,9.509918436600962,2
7119798,145,-22.89177,-43.3244,9.530727587074278,2
2298708,115,-22.78273,-43.37165,9.648261005436085,2
6635016,6,-22.94005,-43.36843,9.791220588369205,2
2696533,1,-22.77582,-43.43768,9.88904794470674,2
